275,27465,11164,Mean thickness of S-orbital-med-olfact (left hemisphere)
276,27687,12164,Mean thickness of S-orbital-med-olfact (right hemisphere)
277,27467,11166,Mean thickness of S-parieto-occipital (left hemisphere)
278,27689,12166,Mean thickness of S-parieto-occipital (right hemisphere)
279,27468,11167,Mean thickness of S-pericallosal (left hemisphere)
280,27690,12167,Mean thickness of S-pericallosal (right hemisphere)
281,27469,11168,Mean thickness of S-postcentral (left hemisphere)
282,27691,12168,Mean thickness of S-postcentral (right hemisphere)
283,27470,11169,Mean thickness of S-precentral-inf-part (left hemisphere)
284,27692,12169,Mean thickness of S-precentral-inf-part (right hemisphere)
285,27471,11170,Mean thickness of S-precentral-sup-part (left hemisphere)
286,27693,12170,Mean thickness of S-precentral-sup-part (right hemisphere)
287,27472,11171,Mean thickness of S-suborbital (left hemisphere)
288,27694,12171,Mean thickness of S-suborbital (right hemisphere)
289,27473,11172,Mean thickness of S-subparietal (left hemisphere)
290,27695,12172,Mean thickness of S-subparietal (right hemisphere)
291,27474,11173,Mean thickness of S-temporal-inf (left hemisphere)
292,27696,12173,Mean thickness of S-temporal-inf (right hemisphere)
293,27475,11174,Mean thickness of S-temporal-sup (left hemisphere)
294,27697,12174,Mean thickness of S-temporal-sup (right hemisphere)
295,27476,11175,Mean thickness of S-temporal-transverse (left hemisphere)
296,27698,12175,Mean thickness of S-temporal-transverse (right hemisphere)
297,27482,11106,Volume of G+S-cingul-Ant (left hemisphere)
298,27704,12106,Volume of G+S-cingul-Ant (right hemisphere)
299,27483,11107,Volume of G+S-cingul-Mid-Ant (left hemisphere)
300,27705,12107,Volume of G+S-cingul-Mid-Ant (right hemisphere)
301,27484,11108,Volume of G+S-cingul-Mid-Post (left hemisphere)
302,27706,12108,Volume of G+S-cingul-Mid-Post (right hemisphere)
303,27477,11101,Volume of G+S-frontomargin (left hemisphere)
304,27699,12101,Volume of G+S-frontomargin (right hemisphere)
305,27478,11102,Volume of G+S-occipital-inf (left hemisphere)
306,27700,12102,Volume of G+S-occipital-inf (right hemisphere)
307,27479,11103,Volume of G+S-paracentral (left hemisphere)
308,27701,12103,Volume of G+S-paracentral (right hemisphere)
309,27480,11104,Volume of G+S-subcentral (left hemisphere)
310,27702,12104,Volume of G+S-subcentral (right hemisphere)
311,27481,11105,Volume of G+S-transv-frontopol (left hemisphere)
312,27703,12105,Volume of G+S-transv-frontopol (right hemisphere)
313,27493,11117,Volume of G-Ins-lg+S-cent-ins (left hemisphere)
314,27715,12117,Volume of G-Ins-lg+S-cent-ins (right hemisphere)
315,27485,11109,Volume of G-cingul-Post-dorsal (left hemisphere)
316,27707,12109,Volume of G-cingul-Post-dorsal (right hemisphere)
317,27486,11110,Volume of G-cingul-Post-ventral (left hemisphere)
318,27708,12110,Volume of G-cingul-Post-ventral (right hemisphere)
319,27487,11111,Volume of G-cuneus (left hemisphere)
320,27709,12111,Volume of G-cuneus (right hemisphere)
321,27488,11112,Volume of G-front-inf-Opercular (left hemisphere)
322,27710,12112,Volume of G-front-inf-Opercular (right hemisphere)
323,27489,11113,Volume of G-front-inf-Orbital (left hemisphere)
324,27711,12113,Volume of G-front-inf-Orbital (right hemisphere)
325,27490,11114,Volume of G-front-inf-Triangul (left hemisphere)
326,27712,12114,Volume of G-front-inf-Triangul (right hemisphere)
327,27491,11115,Volume of G-front-middle (left hemisphere)
328,27713,12115,Volume of G-front-middle (right hemisphere)
329,27492,11116,Volume of G-front-sup (left hemisphere)
